id;start_date;end_date;language
1;2019-10-19T03:38:35;2019-10-19T08:15:13;ENGLISH
2;2019-10-18T21:06:34;2019-10-19T09:52:15;SPANISH
3;2019-10-19T01:51:32;2019-10-18T20:33:00;FRENCH
4;2019-10-19T04:11:21;2019-10-19T13:06:51;FRENCH
5;2019-10-19T10:27:07;2019-10-18T20:04:17;SPANISH
6;2019-10-19T11:28:25;2019-10-19T12:03:23;FRENCH
7;2019-10-19T06:47:08;2019-10-18T17:43:43;FRENCH
8;2019-10-19T02:27:39;2019-10-18T18:53:38;SPANISH
9;2019-10-18T22:39:54;2019-10-19T04:41:44;ENGLISH
10;2019-10-18T23:01:03;2019-10-18T16:58:46;SPANISH
